File_mb	1604	2
Read_type	PAIRED	PEPATAC
Genome	hg38	PEPATAC
Raw_reads	28408648	PEPATAC
Fastq_reads	28408648	PEPATAC
Trimmed_reads	28408460	PEPATAC
Trim_loss_rate	0.0	PEPATAC
Aligned_reads_rCRSd	11074130.0	PEPATAC
Alignment_rate_rCRSd	38.98	PEPATAC
Aligned_reads_human_repeats	1147860.0	PEPATAC
Alignment_rate_human_repeats	4.04	PEPATAC
Mapped_reads	16069631	PEPATAC
QC_filtered_reads	1124479	PEPATAC
Aligned_reads	14945152	PEPATAC
Alignment_rate	52.61	PEPATAC
Total_efficiency	52.61	PEPATAC
Mitochondrial_reads	801	PEPATAC
NRF	0.93	PEPATAC
PBC1	0.96	PEPATAC
PBC2	27.69	PEPATAC
Unmapped_reads	116839	PEPATAC
Duplicate_reads	272965	PEPATAC
Dedup_aligned_reads	14672187.0	PEPATAC
Dedup_alignment_rate	51.65	PEPATAC
Dedup_total_efficiency	51.65	PEPATAC
Read_length	50	PEPATAC
Genome_size	3099922541	PEPATAC
Frac_exp_unique_at_10M	0.9219	PEPATAC
TSS_score	13.1	PEPATAC
Peak_count	420249	PEPATAC
