File_mb	4809	2
Read_type	PAIRED	PEPATAC
Genome	hg38	PEPATAC
Raw_reads	166092252	PEPATAC
Fastq_reads	166092252	PEPATAC
Trimmed_reads	166090588	PEPATAC
Trim_loss_rate	0.0	PEPATAC
Aligned_reads_rCRSd	29229450.0	PEPATAC
Alignment_rate_rCRSd	17.6	PEPATAC
Aligned_reads_human_repeats	10699930.0	PEPATAC
Alignment_rate_human_repeats	6.44	PEPATAC
Mapped_reads	123924925	PEPATAC
QC_filtered_reads	9613401	PEPATAC
Aligned_reads	114311524	PEPATAC
Alignment_rate	68.82	PEPATAC
Total_efficiency	68.82	PEPATAC
Mitochondrial_reads	14199	PEPATAC
NRF	0.9	PEPATAC
PBC1	0.95	PEPATAC
PBC2	18.89	PEPATAC
Unmapped_reads	2236283	PEPATAC
Duplicate_reads	3152724	PEPATAC
Dedup_aligned_reads	111158800.0	PEPATAC
Dedup_alignment_rate	66.93	PEPATAC
Dedup_total_efficiency	66.93	PEPATAC
Read_length	40	PEPATAC
Genome_size	3099922541	PEPATAC
Frac_exp_unique_at_10M	0.9696	PEPATAC
TSS_score	11.0	PEPATAC
Peak_count	380540	PEPATAC
