File_mb	3271.827	PEPATAC
Read_type	paired	PEPATAC
Genome	hg19	PEPATAC
Raw_reads	104881014	PEPATAC
Fastq_reads	104881014	PEPATAC
Trimmed_reads	104879682	PEPATAC
Trim_loss_rate	0.0	PEPATAC
Aligned_reads_rCRSd	19947382.0	PEPATAC
Alignment_rate_rCRSd	19.02	PEPATAC
Aligned_reads	74415730	PEPATAC
Alignment_rate	70.95	PEPATAC
Total_efficiency	70.95	PEPATAC
NRF	0.94	PEPATAC
PBC1	0.97	PEPATAC
PBC2	32.03	PEPATAC
Duplicate_reads	2617808.0	PEPATAC
Dedup_aligned_reads	71797922	PEPATAC
Dedup_alignment_rate	68.46	PEPATAC
Dedup_total_efficiency	68.46	PEPATAC
TSS_Score	12.6835133701	PEPATAC
Peak_count	117275	PEPATAC
FRiP	0.246899197253	PEPATAC
Time	3:14:56	PEPATAC
Success	09-17-19:02:19	PEPATAC
