File_mb	27	2
Read_type	paired	PEPATAC
Genome	hg38	PEPATAC
Raw_reads	1000000	PEPATAC
Fastq_reads	1000000	PEPATAC
Trimmed_reads	1000000	PEPATAC
Trim_loss_rate	0.0	PEPATAC
Aligned_reads_rCRSd	100556.0	PEPATAC
Alignment_rate_rCRSd	10.06	PEPATAC
Aligned_reads_human_repeats	19842.0	PEPATAC
Alignment_rate_human_repeats	1.98	PEPATAC
Mapped_reads	879537	PEPATAC
QC_filtered_reads	3707	PEPATAC
Aligned_reads	875830	PEPATAC
Alignment_rate	87.58	PEPATAC
Total_efficiency	87.58	PEPATAC
Mitochondrial_reads	30	PEPATAC
NRF	1.0	PEPATAC
PBC1	1.0	PEPATAC
PBC2	437908.0	PEPATAC
Unmapped_reads	65	PEPATAC
Duplicate_reads	0	PEPATAC
Dedup_aligned_reads	875830.0	PEPATAC
Dedup_alignment_rate	87.58	PEPATAC
Dedup_total_efficiency	87.58	PEPATAC
Read_length	42	PEPATAC
Genome_size	3099922541	PEPATAC
TSS_score	13.2	PEPATAC
Peak_count	534448	PEPATAC
FRiP	0.92	PEPATAC
Time	0:39:02	PEPATAC
Success	09-21-15:22:06	PEPATAC
